Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,170,0,No info,3897
Air India,2019-05-01,Kolkata,Banglore,05:50:00,13:15:00,445,2,No info,7662
Jet Airways,2019-06-09,Delhi,Cochin,09:25:00,04:25:00,1140,2,No info,13882
IndiGo,2019-05-12,Kolkata,Banglore,18:05:00,23:30:00,325,1,No info,6218
IndiGo,2019-03-01,Banglore,New Delhi,16:50:00,21:35:00,285,1,No info,13302
SpiceJet,2019-06-24,Kolkata,Banglore,09:00:00,11:25:00,145,0,No info,3873
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:25:00,930,1,In-flight meal not included,11087
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,05:05:00,1265,1,No info,22270
Jet Airways,2019-03-12,Banglore,New Delhi,08:55:00,10:25:00,1530,1,In-flight meal not included,11087
Multiple carriers,2019-05-27,Delhi,Cochin,11:25:00,19:15:00,470,1,No info,8625
Air India,2019-06-01,Delhi,Cochin,09:45:00,23:00:00,795,1,No info,8907
IndiGo,2019-04-18,Kolkata,Banglore,20:20:00,22:55:00,155,0,No info,4174
Air India,2019-06-24,Chennai,Kolkata,11:40:00,13:55:00,135,0,No info,4667
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,09:20:00,730,1,In-flight meal not included,9663
IndiGo,2019-04-24,Kolkata,Banglore,17:15:00,19:50:00,155,0,No info,4804
Air India,2019-03-03,Delhi,Cochin,16:40:00,19:15:00,1595,2,No info,14011
SpiceJet,2019-04-15,Delhi,Cochin,08:45:00,13:15:00,270,1,No info,5830
Jet Airways,2019-06-12,Delhi,Cochin,14:00:00,12:35:00,1355,1,In-flight meal not included,10262
Air India,2019-06-12,Delhi,Cochin,20:15:00,19:15:00,1380,2,No info,13381
Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,12:35:00,1235,1,In-flight meal not included,12898
GoAir,2019-03-06,Delhi,Cochin,14:10:00,19:20:00,310,1,No info,19495
Air India,2019-03-21,Banglore,New Delhi,22:00:00,13:20:00,920,1,No info,6955
IndiGo,2019-04-03,Banglore,Delhi,04:00:00,06:50:00,170,0,No info,3943
IndiGo,2019-05-01,Banglore,Delhi,18:55:00,21:50:00,175,0,No info,4823
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,08:15:00,800,1,In-flight meal not included,7757
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,12:35:00,910,2,No info,13292
IndiGo,2019-06-01,Delhi,Cochin,21:50:00,03:35:00,345,1,No info,8238
GoAir,2019-05-15,Delhi,Cochin,07:00:00,12:55:00,355,1,No info,7682
Vistara,2019-06-18,Banglore,Delhi,09:45:00,12:35:00,170,0,No info,4668
Vistara,2019-06-15,Chennai,Kolkata,07:05:00,09:20:00,135,0,No info,3687
Vistara,2019-06-18,Chennai,Kolkata,07:05:00,09:20:00,135,0,No info,3687
Air India,2019-05-01,Kolkata,Banglore,09:50:00,23:15:00,805,2,No info,13227
IndiGo,2019-04-06,Banglore,Delhi,04:00:00,06:50:00,170,0,No info,4423
Jet Airways,2019-06-15,Delhi,Cochin,14:35:00,12:35:00,1320,2,In-flight meal not included,10919
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,12:35:00,330,1,In-flight meal not included,12373
IndiGo,2019-06-27,Delhi,Cochin,10:35:00,21:00:00,625,1,No info,5894
SpiceJet,2019-05-21,Kolkata,Banglore,15:05:00,20:20:00,315,1,No info,4649
Air India,2019-05-18,Kolkata,Banglore,14:15:00,16:45:00,150,0,No info,6245
Jet Airways,2019-03-06,Banglore,New Delhi,07:00:00,13:15:00,375,1,No info,19225
Jet Airways,2019-06-03,Delhi,Cochin,07:05:00,19:00:00,715,1,No info,14924
Multiple carriers,2019-05-21,Delhi,Cochin,07:05:00,18:10:00,665,1,No info,9646
Air India,2019-03-15,Banglore,New Delhi,06:45:00,15:15:00,510,1,No info,8714
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,19:00:00,1325,1,In-flight meal not included,12373
Air Asia,2019-05-06,Banglore,Delhi,11:10:00,13:55:00,165,0,No info,3383
Multiple carriers,2019-03-21,Delhi,Cochin,09:00:00,21:00:00,720,1,No info,13062
SpiceJet,2019-03-24,Banglore,New Delhi,05:45:00,08:35:00,170,0,No check-in baggage included,3527
IndiGo,2019-05-27,Banglore,Delhi,04:00:00,06:50:00,170,0,No info,3943
Air India,2019-05-03,Chennai,Kolkata,11:40:00,13:55:00,135,0,No info,4667
Air India,2019-05-15,Kolkata,Banglore,19:00:00,11:05:00,965,1,No info,6117
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,19:00:00,1195,2,In-flight meal not included,11150
Jet Airways,2019-03-09,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,7202
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,10:55:00,1520,1,No info,12121
IndiGo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,170,0,No info,4377
IndiGo,2019-06-18,Banglore,Delhi,21:15:00,00:15:00,180,0,No info,3943
Air Asia,2019-04-03,Banglore,Delhi,23:55:00,02:45:00,170,0,No info,4483
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,12:00:00,975,1,No info,14231
Air India,2019-03-01,Banglore,New Delhi,08:50:00,23:55:00,905,2,No info,17345
Vistara,2019-03-06,Chennai,Kolkata,07:05:00,09:20:00,135,0,No info,7414
Multiple carriers,2019-05-06,Delhi,Cochin,19:00:00,01:30:00,390,1,No info,8073
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,16:45:00,1505,1,No info,12395
Air India,2019-06-06,Kolkata,Banglore,09:25:00,21:50:00,745,1,No info,8366
Air India,2019-04-03,Delhi,Cochin,06:05:00,09:25:00,1640,1,No info,5117
Multiple carriers,2019-06-03,Delhi,Cochin,08:45:00,19:00:00,615,1,No info,12524
IndiGo,2019-05-15,Delhi,Cochin,15:00:00,01:30:00,630,1,No info,7191
Vistara,2019-05-24,Chennai,Kolkata,07:05:00,09:20:00,135,0,No info,3687
IndiGo,2019-06-24,Delhi,Cochin,10:35:00,21:00:00,625,1,No info,5894
Vistara,2019-04-24,Banglore,Delhi,09:45:00,12:35:00,170,0,No info,5403
Air India,2019-05-06,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,No info,3625
